City,Business Name,Review Text,Stars,TrueTimestamp,Matched Bank
agadir,Attijariwafa Bank,Beaucoup des clients qui attends outside alors que un seul guichet qui travail… deja ca existe 3 mais just un qui bosse 🤦🏽‍♂️ …,2,2022-03-14 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,Bon service,4,2023-03-14 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,Service👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽 …,5,2024-12-13 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,No review text found,5,2012-03-16 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,"Le service est nul, j'ai pas de compte bancaire à cette banque, mais j'ai effectué un virement samedi 21/09/2024 matin, et jusqu'à maintenant 20h00 23/09/2024, le destinataire n'a pas reçu le virement.
Je suis un client de la banque crédit du Maroc , et croyez moi. Le virement est instantanée.",1,2024-10-14 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,"Excellent. Très bonne banque !
Remarque les esprits chagrins qui mettent 1 étoile à wafabank  doivent savoir que wafabank meilleure banque au Maroc et plus n'accueille pas n'importe qui avec le sourire pour
des personnes peu claires avec des rentrées d'argent hypothétiques et des projets fumeux.",5,2024-09-14 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,"J’ai toujours retiré de l’argent de n’importe quelle agence !! Aujourd’hui le monsieur youssef de l’agence founty m’a fait attendre 1h son chef qui n’est pas tte en sachant que youssef sait très bien que son chef ne vient pas à l’agence !! Youssef ma mal parlé deésagréable et malpoli!! Service 0
Service médiocre 0 Youssef de l’agence Attijari bank hassbia allah fik tu m’a faut attendre ton chef 1h pour rien tu savais qu’il viendra pas !!!! Tu m’a juste demandé d’attendre !!! Youssef de l’agence founty je ferais que des réclamations walah partout !!! Faut que tu change d’emploi !!tes pas fait pour travailler dans une agence de bank",1,2025-03-13 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,"1 etoile car impossible de mettre plus bas !! Aucun services, accueil deplorable, c'est une banque qui deteste les clients, j'ai cloture mon compte pour aller sous de meilleurs cieuxsi vous pouvez deposer votre argent et ne pas les deranger c'est parfait. AFUIR",1,2025-03-13 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,"Je voulais ouvrir un compte pratique ment aucune parole sauf donnez moi votre passeport après avoir signé X documents j ais demandé au conseiller moi je n ais rien en retour? Il m as donné un RIB  sans aucune explication sauf de mettre de l argent sur le nouveau compte carnet de chèque? Date ?cb? ensuite j ais du partir sans un au revoir etc
Très déçu pour 1 premier contact!!ensuite j y suis retourné 2 fois pour résilié le contrat nous sommes en septembre toujours rien de fait agence à marjane agadir",1,2020-03-14 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,Très bonne équipe professionnelle et à l’écoute,5,2025-01-12 21:22:17.360486,Attijariwafa Bank
agadir,Attijariwafa Bank,"Service déplorable, la réclamation sera faite au siège, ils doivent revoir leur manière de parler aux clients",1,2025-03-13 21:22:17.361487,Attijariwafa Bank
agadir,Attijariwafa Bank,Mauvais service,1,2023-03-14 21:22:17.361487,Attijariwafa Bank
agadir,Attijariwafa Bank,Très utile,5,2015-03-16 21:22:17.361487,Attijariwafa Bank
agadir,Attijariwafa Bank,"Le tarif de la carte Visa bancaire est de 10,40 dirhams sans frais en haut",5,2025-03-13 21:22:17.361487,Attijariwafa Bank
agadir,Attijariwafa Bank,"La pire banque avec littéralement aucun service client !
Je suis allé vendredi soir au distributeur automatique - quelques heures avant mon voyage de retour aux États-Unis - pour retirer de l'argent. Après avoir inséré ma carte, mon code PIN et le montant souhaité, l'écran m'a demandé de prendre mon argent et la carte, mais aucun argent ni carte n'est sorti du distributeur automatique !!!! J'ai appelé à l'aide et pas de réponse. J'ai rappelé lundi et toujours pas de réponse. J'ai vérifié mon compte dans l'application et j'ai été facturé pour l'argent que je n'ai jamais reçu. La machine a pris ma carte et mon argent, et personne au service client ne doit répondre à mes appels. J'ai même déposé une réclamation via l'application et toujours pas de réponse !! Je suis aux États-Unis et j'essaie de contacter la banque avec des appels longue distance pour résoudre ce problème, mais personne ne répond toujours !!!!",1,2023-03-14 21:22:17.361487,Attijariwafa Bank
